"","predictions","residuals"
"1",0.110895550724436,-0.104575550723022
"2",1.89328680535653,-1.86597680535647
"3",-0.487793074945298,0.515083074945325
"4",-0.599628175281849,0.631998175281861
"5",-0.800322278000245,0.869372278000258
"6",-0.262748788575969,0.292598788575982
"7",1.90305315958723,-1.81476315958719
"8",1.06401203055431,-0.919462030554272
"9",3.18159202287549,-2.97035202287545
"10",2.70213994914239,-2.53209994914235
"11",3.48124956895867,-3.25635956895864
"12",2.70213994914239,-2.58466994914235
"13",2.14277919645378,-2.04899919645374
"14",2.50072237899972,-1.87096237899968
"15",2.95359244504531,-2.31563244504527
"16",2.60364739401008,-1.97625739401004
"17",1.94492729794377,-0.890997297943726
"18",3.09768746605982,-2.31348746605978
"19",2.54189238500386,-1.73918238500382
"20",2.95359244504531,-2.22779244504527
"21",3.90050258314064,-2.6487125831406
"22",2.6654024030163,-1.81336240301626
"23",3.57114253510748,-2.33867253510744
"24",3.71523755612199,-2.72680755612195
"25",3.48880252309919,-2.73854252309915
"26",3.83874757413442,-2.99820757413438
"27",3.28295249307847,-2.61104249307843
"28",3.65348254711577,-2.69771254711573
"29",2.91242243904117,-2.13943243904113
"30",2.37721236098729,-1.37476236098725
"31",4.08576761015929,-2.95495761015925
"32",3.71523755612199,-2.36051755612195
"33",3.98284259514893,-2.59485259514889
"34",4.003427598151,-2.85170759815096
"35",3.92108758614271,-2.30826758614267
"36",1.94268521937621,-1.87851521937618
"37",1.77023478506221,-1.67279478506218
"38",1.61346166295857,-1.53332166295855
"39",1.03340111117513,-0.858351111175101
"40",-0.313382351697451,0.341012351697467
"41",-0.678327326356843,0.71191732635686
"42",0.948593653035271,-0.821153653035236
"43",1.18020145547532,-1.03870145547528
"44",1.2870973642938,-1.12773736429377
"45",1.91065683240162,-1.78796683240159
"46",2.24916054366015,-2.07774054366012
"47",2.12444865003859,-1.93608865003856
"48",2.73019213334333,-2.5009221333433
"49",3.1221437990111,-2.86827379901107
"50",2.23134455885707,-2.01157455885704
"51",1.69579139276546,-1.60706139276543
"52",1.57613605491135,-1.53276605491132
"53",0.903074779481969,-0.849474779481942
